mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin,carname,cluster_label
25.0,-0.8563205709794179,-0.9163339007013018,,2046.0,1.2460539317453052,71,1,ford pinto,4
19.0,0.3209353435276921,0.37041077977637243,100.0,2634.0,-0.9324194477171661,71,1,amc gremlin,0
16.0,0.3209353435276921,0.30319277407977746,105.0,3439.0,-0.02472220627446969,71,1,plymouth satellite custom,0
17.0,0.3209353435276921,0.5432570801390451,100.0,3329.0,-0.02472220627446969,71,1,chevrolet chevelle malibu,0
19.0,0.3209353435276921,0.5432570801390451,88.0,3302.0,-0.02472220627446969,71,1,ford torino 500,0
18.0,0.3209353435276921,0.37041077977637243,100.0,3288.0,-0.02472220627446969,71,1,amc matador,0
14.0,1.498191258034802,1.5035143043761154,165.0,4209.0,-1.2954983442942447,71,1,chevrolet impala,3
14.0,1.498191258034802,1.9836429164946505,175.0,4464.0,-1.477037792582784,71,1,pontiac catalina brougham,3
14.0,1.498191258034802,1.5131168766184862,153.0,4154.0,-0.7508799994286268,71,1,ford galaxie 500,3
14.0,1.498191258034802,1.196231992620253,150.0,4096.0,-0.9324194477171661,71,1,plymouth fury iii,3
12.0,1.498191258034802,1.8203991883743487,180.0,4955.0,-1.477037792582784,71,1,dodge monaco (sw),3
13.0,1.498191258034802,1.9836429164946505,170.0,4746.0,-1.2954983442942447,71,1,ford country squire (sw),3
13.0,1.498191258034802,1.9836429164946505,175.0,5140.0,-1.2954983442942447,71,1,pontiac safari (sw),3
18.0,0.3209353435276921,0.6200776580780107,110.0,2962.0,-0.7508799994286268,71,1,amc hornet sportabout (sw),0
22.0,-0.8563205709794179,-0.5130258665217323,72.0,2408.0,1.2460539317453052,71,1,chevrolet vega (sw),4
19.0,0.3209353435276921,0.5432570801390451,100.0,3282.0,-0.206261654563009,71,1,pontiac firebird,0
18.0,0.3209353435276921,0.5432570801390451,88.0,3139.0,-0.3878011028515483,71,1,ford mustang,0
23.0,-0.8563205709794179,-0.6858721668844049,86.0,2220.0,-0.5693405511400875,71,1,mercury capri 2000,1
28.0,-0.8563205709794179,-0.7434876003386292,90.0,2123.0,-0.5693405511400875,71,2,opel 1900,1
30.0,-0.8563205709794179,-1.098782773306345,70.0,2074.0,1.4275933800338445,71,2,peugeot 304,4
30.0,-0.8563205709794179,-1.012359623125009,76.0,2065.0,-0.3878011028515483,71,2,fiat 124b,1
31.0,-0.8563205709794179,-1.1756033512453108,65.0,1773.0,1.2460539317453052,71,3,toyota corolla 1200,4
35.0,-0.8563205709794179,-1.16600077900294,69.0,1613.0,0.8829750351682267,71,3,datsun 1200,4
27.0,-0.8563205709794179,-0.9259364729436725,60.0,1834.0,1.2460539317453052,71,2,volkswagen model 111,4
26.0,-0.8563205709794179,-0.9835519063978967,70.0,1955.0,1.790672276610923,71,1,plymouth cricket,4
24.0,-0.8563205709794179,-0.7722953170657413,95.0,2278.0,-0.02472220627446969,72,3,toyota corona hardtop,1
25.0,-0.8563205709794179,-0.9211351868224872,80.0,2126.0,0.5198961385911481,72,1,dodge colt hardtop,1
23.0,-0.8563205709794179,-0.9259364729436725,54.0,2254.0,2.879908966342159,72,2,volkswagen type 3,4
20.0,-0.8563205709794179,-0.5130258665217323,90.0,2408.0,1.4275933800338445,72,1,chevrolet vega,4
21.0,-0.8563205709794179,-0.6858721668844049,86.0,2226.0,0.3383566903026089,72,1,ford pinto runabout,1
13.0,1.498191258034802,1.5035143043761154,165.0,4274.0,-1.2954983442942447,72,1,chevrolet impala,3
14.0,1.498191258034802,1.9836429164946505,175.0,4385.0,-1.2954983442942447,72,1,pontiac catalina,3
15.0,1.498191258034802,1.196231992620253,150.0,4135.0,-0.7508799994286268,72,1,plymouth fury iii,3
14.0,1.498191258034802,1.5131168766184862,153.0,4129.0,-0.9324194477171661,72,1,ford galaxie 500,3
17.0,1.498191258034802,1.061795981227063,150.0,3672.0,-1.477037792582784,72,1,amc ambassador sst,3
11.0,1.498191258034802,2.262117511523401,208.0,4633.0,-1.6585772408713233,72,1,mercury marquis,3
13.0,1.498191258034802,1.5035143043761154,155.0,4502.0,-0.7508799994286268,72,1,buick lesabre custom,3
12.0,1.498191258034802,1.5035143043761154,160.0,4456.0,-0.7508799994286268,72,1,oldsmobile delta 88 royale,3
13.0,1.498191258034802,1.9836429164946505,190.0,4422.0,-1.1139588960057054,72,1,chrysler newport royal,3
19.0,-1.4449485282329728,-1.1852059234876815,97.0,2330.0,-0.7508799994286268,72,3,mazda rx2 coupe,1
15.0,1.498191258034802,1.061795981227063,150.0,3892.0,-1.1139588960057054,72,1,amc matador (sw),3
13.0,1.498191258034802,1.090603697954175,130.0,4098.0,-0.5693405511400875,72,1,chevrolet chevelle concours (sw),3
13.0,1.498191258034802,1.0425908367423216,140.0,4294.0,0.1568172420140696,72,1,ford gran torino (sw),3
14.0,1.498191258034802,1.196231992620253,150.0,4077.0,-0.5693405511400875,72,1,plymouth satellite custom (sw),3
18.0,-0.8563205709794179,-0.6954747391267756,112.0,2933.0,-0.3878011028515483,72,2,volvo 145e (sw),1
22.0,-0.8563205709794179,-0.6954747391267756,76.0,2511.0,0.8829750351682267,72,2,volkswagen 411 (sw),4
21.0,-0.8563205709794179,-0.7050773113691463,87.0,2979.0,1.4275933800338445,72,2,peugeot 504 (sw),4
26.0,-0.8563205709794179,-0.9355390451860432,69.0,2189.0,0.8829750351682267,72,2,renault 12 (sw),4
22.0,-0.8563205709794179,-0.6858721668844049,86.0,2395.0,0.1568172420140696,72,1,ford pinto (sw),1
28.0,-0.8563205709794179,-0.9259364729436725,92.0,2288.0,0.5198961385911481,72,3,datsun 510 (sw),1
23.0,-0.8563205709794179,-0.7050773113691463,97.0,2506.0,-0.3878011028515483,72,3,toyouta corona mark ii (sw),1
28.0,-0.8563205709794179,-0.9163339007013018,80.0,2164.0,-0.206261654563009,72,1,dodge colt (sw),1
27.0,-0.8563205709794179,-0.9259364729436725,88.0,2100.0,0.3383566903026089,72,3,toyota corolla 1600 (sw),1
13.0,1.498191258034802,1.5035143043761154,175.0,4100.0,-0.9324194477171661,73,1,buick century 350,3
14.0,1.498191258034802,1.061795981227063,150.0,3672.0,-1.477037792582784,73,1,amc matador,3
13.0,1.498191258034802,1.5035143043761154,145.0,3988.0,-0.9324194477171661,73,1,chevrolet malibu,3
14.0,1.498191258034802,1.0425908367423216,137.0,4042.0,-0.3878011028515483,73,1,ford gran torino,3
15.0,1.498191258034802,1.196231992620253,150.0,3777.0,-1.1139588960057054,73,1,dodge coronet custom,3
12.0,1.498191258034802,2.262117511523401,198.0,4952.0,-1.477037792582784,73,1,mercury marquis brougham,3
13.0,1.498191258034802,1.9836429164946505,150.0,4464.0,-1.2954983442942447,73,1,chevrolet caprice classic,3
13.0,1.498191258034802,1.5131168766184862,158.0,4363.0,-0.9324194477171661,73,1,ford ltd,3
14.0,1.498191258034802,1.196231992620253,150.0,4237.0,-0.3878011028515483,73,1,plymouth fury gran sedan,3
13.0,1.498191258034802,2.3677458061894785,215.0,4735.0,-1.6585772408713233,73,1,chrysler new yorker brougham,3
12.0,1.498191258034802,2.5117843898250394,225.0,4951.0,-1.6585772408713233,73,1,buick electra 225 custom,3
13.0,1.498191258034802,1.5995400267998223,175.0,3821.0,-1.6585772408713233,73,1,amc ambassador brougham,3
18.0,0.3209353435276921,0.30319277407977746,105.0,3121.0,0.3383566903026089,73,1,plymouth valiant,0
16.0,0.3209353435276921,0.5432570801390451,100.0,3278.0,0.8829750351682267,73,1,chevrolet nova custom,2
18.0,0.3209353435276921,0.37041077977637243,100.0,2945.0,0.1568172420140696,73,1,amc hornet,0
18.0,0.3209353435276921,0.5432570801390451,88.0,3021.0,0.3383566903026089,73,1,ford maverick,0
23.0,0.3209353435276921,0.0439233235357685,95.0,2904.0,0.1568172420140696,73,1,plymouth duster,0
26.0,-0.8563205709794179,-0.9259364729436725,46.0,1950.0,1.9722117248994624,73,2,volkswagen super beetle,4
11.0,1.498191258034802,1.9836429164946505,150.0,4997.0,-0.5693405511400875,73,1,chevrolet impala,3
12.0,1.498191258034802,1.9836429164946505,167.0,4906.0,-1.1139588960057054,73,1,ford country,3
13.0,1.498191258034802,1.5995400267998223,170.0,4654.0,-0.9324194477171661,73,1,plymouth custom suburb,3
12.0,1.498191258034802,1.5035143043761154,180.0,4499.0,-1.1139588960057054,73,1,oldsmobile vista cruiser,3
18.0,0.3209353435276921,0.37041077977637243,100.0,2789.0,-0.206261654563009,73,1,amc gremlin,0
20.0,-0.8563205709794179,-0.9259364729436725,88.0,2279.0,1.2460539317453052,73,3,toyota carina,4
21.0,-0.8563205709794179,-0.5130258665217323,72.0,2401.0,1.4275933800338445,73,1,chevrolet vega,4
22.0,-0.8563205709794179,-0.8203081782775948,94.0,2379.0,0.3383566903026089,73,3,datsun 610,1
18.0,-1.4449485282329728,-1.1852059234876815,90.0,2124.0,-0.7508799994286268,73,3,maxda rx3,1
19.0,-0.8563205709794179,-0.6858721668844049,85.0,2310.0,1.064514483456766,73,1,ford pinto,4
21.0,0.3209353435276921,-0.3689872828861717,107.0,2472.0,-0.5693405511400875,73,1,mercury capri v6,0
26.0,-0.8563205709794179,-0.9163339007013018,90.0,2265.0,-0.02472220627446969,73,2,fiat 124 sport coupe,1
15.0,1.498191258034802,1.5035143043761154,145.0,4082.0,-0.9324194477171661,73,1,chevrolet monte carlo s,3
16.0,1.498191258034802,1.9836429164946505,230.0,4278.0,-2.203195585736941,73,1,pontiac grand prix,3
29.0,-0.8563205709794179,-1.204411067972423,49.0,1867.0,1.4275933800338445,73,2,fiat 128,4
24.0,-0.8563205709794179,-0.7434876003386292,75.0,2158.0,-0.02472220627446969,73,2,opel manta,1
20.0,-0.8563205709794179,-0.7626927448233706,91.0,2582.0,-0.5693405511400875,73,2,audi 100ls,1
19.0,-0.8563205709794179,-0.6954747391267756,112.0,2868.0,-0.02472220627446969,73,2,volvo 144ea,1
15.0,1.498191258034802,1.196231992620253,150.0,3399.0,-1.6585772408713233,73,1,dodge dart custom,3
24.0,-0.8563205709794179,-0.6954747391267756,110.0,2660.0,-0.5693405511400875,73,2,saab 99le,1
20.0,0.3209353435276921,-0.359384710643801,122.0,2807.0,-0.7508799994286268,73,3,toyota mark ii,0
11.0,1.498191258034802,1.5035143043761154,180.0,3664.0,-1.6585772408713233,73,1,oldsmobile omega,3
20.0,0.3209353435276921,0.0439233235357685,95.0,3102.0,0.3383566903026089,74,1,plymouth duster,0
21.0,0.3209353435276921,0.0631284680205099,,2875.0,0.5198961385911481,74,1,ford maverick,2
19.0,0.3209353435276921,0.37041077977637243,100.0,2901.0,0.1568172420140696,74,1,amc hornet,0
15.0,0.3209353435276921,0.5432570801390451,100.0,3336.0,0.5198961385911481,74,1,chevrolet nova,2
31.0,-0.8563205709794179,-1.098782773306345,67.0,1950.0,1.2460539317453052,74,3,datsun b210,4
26.0,-0.8563205709794179,-0.6858721668844049,80.0,2451.0,0.3383566903026089,74,1,ford pinto,1
32.0,-0.8563205709794179,-1.1756033512453108,65.0,1836.0,1.9722117248994624,74,3,toyota corolla 1200,4
25.0,-0.8563205709794179,-0.5130258665217323,75.0,2542.0,0.5198961385911481,74,1,chevrolet vega,1
16.0,0.3209353435276921,0.5432570801390451,100.0,3781.0,0.5198961385911481,74,1,chevrolet chevelle malibu classic,2
16.0,0.3209353435276921,0.6200776580780107,110.0,3632.0,0.8829750351682267,74,1,amc matador,2
18.0,0.3209353435276921,0.30319277407977746,105.0,3613.0,0.3383566903026089,74,1,plymouth satellite sebring,0
16.0,1.498191258034802,1.0425908367423216,140.0,4141.0,-0.5693405511400875,74,1,ford gran torino,3
13.0,1.498191258034802,1.5035143043761154,150.0,4699.0,-0.3878011028515483,74,1,buick century luxus (sw),3
14.0,1.498191258034802,1.196231992620253,150.0,4457.0,-0.7508799994286268,74,1,dodge coronet custom (sw),3
14.0,1.498191258034802,1.0425908367423216,140.0,4638.0,0.1568172420140696,74,1,ford gran torino (sw),3
14.0,1.498191258034802,1.061795981227063,150.0,4257.0,-0.02472220627446969,74,1,amc matador (sw),3
29.0,-0.8563205709794179,-0.9163339007013018,83.0,2219.0,0.3383566903026089,74,2,audi fox,1
26.0,-0.8563205709794179,-1.098782773306345,67.0,1963.0,-0.02472220627446969,74,2,volkswagen dasher,1
26.0,-0.8563205709794179,-0.9259364729436725,78.0,2300.0,-0.3878011028515483,74,2,opel manta,1
31.0,-0.8563205709794179,-1.1275904900334572,52.0,1649.0,0.3383566903026089,74,3,toyota corona,1
32.0,-0.8563205709794179,-1.0603724843368623,61.0,2003.0,1.2460539317453052,74,3,datsun 710,4
28.0,-0.8563205709794179,-0.9931544786402674,75.0,2125.0,-0.3878011028515483,74,1,dodge colt,1
24.0,-0.8563205709794179,-0.9931544786402674,75.0,2108.0,-0.02472220627446969,74,2,fiat 128,1
26.0,-0.8563205709794179,-0.7434876003386292,75.0,2246.0,-0.5693405511400875,74,2,fiat 124 tc,1
24.0,-0.8563205709794179,-0.7050773113691463,97.0,2489.0,-0.206261654563009,74,3,honda civic,1
26.0,-0.8563205709794179,-0.8203081782775948,93.0,2391.0,-0.02472220627446969,74,3,subaru,1
31.0,-0.8563205709794179,-1.098782773306345,67.0,2000.0,0.1568172420140696,74,2,fiat x1.9,1
19.0,0.3209353435276921,0.30319277407977746,95.0,3264.0,0.1568172420140696,75,1,plymouth valiant custom,0
18.0,0.3209353435276921,0.5432570801390451,105.0,3459.0,0.1568172420140696,75,1,chevrolet nova,0
15.0,0.3209353435276921,0.5432570801390451,72.0,3432.0,1.9722117248994624,75,1,mercury monarch,2
15.0,0.3209353435276921,0.5432570801390451,72.0,3158.0,1.4275933800338445,75,1,ford maverick,2
16.0,1.498191258034802,1.9836429164946505,170.0,4668.0,-1.477037792582784,75,1,pontiac catalina,3
15.0,1.498191258034802,1.5035143043761154,145.0,4440.0,-0.5693405511400875,75,1,chevrolet bel air,3
16.0,1.498191258034802,1.196231992620253,150.0,4498.0,-0.3878011028515483,75,1,plymouth grand fury,3
14.0,1.498191258034802,1.5131168766184862,148.0,4657.0,-0.7508799994286268,75,1,ford ltd,3
17.0,0.3209353435276921,0.3608082075340017,110.0,3907.0,1.9722117248994624,75,1,buick century,2
16.0,0.3209353435276921,0.5432570801390451,105.0,3897.0,1.064514483456766,75,1,chevroelt chevelle malibu,2
15.0,0.3209353435276921,0.6200776580780107,110.0,3730.0,1.2460539317453052,75,1,amc matador,2
18.0,0.3209353435276921,0.30319277407977746,95.0,3785.0,1.2460539317453052,75,1,plymouth fury,2
21.0,0.3209353435276921,0.3608082075340017,110.0,3039.0,-0.206261654563009,75,1,buick skyhawk,0
20.0,1.498191258034802,0.6584879470474935,110.0,3221.0,-0.7508799994286268,75,1,chevrolet monza 2+2,3
13.0,1.498191258034802,1.0425908367423216,129.0,3169.0,-1.2954983442942447,75,1,ford mustang ii,3
29.0,-0.8563205709794179,-0.9259364729436725,75.0,2171.0,0.1568172420140696,75,3,toyota corolla,1
23.0,-0.8563205709794179,-0.5130258665217323,83.0,2639.0,0.5198961385911481,75,1,ford pinto,1
20.0,0.3209353435276921,0.37041077977637243,100.0,2914.0,0.1568172420140696,75,1,amc gremlin,0
23.0,-0.8563205709794179,-0.5130258665217323,78.0,2592.0,1.064514483456766,75,1,pontiac astro,4
24.0,-0.8563205709794179,-0.5706412999759565,96.0,2702.0,-0.7508799994286268,75,3,toyota corona,1
25.0,-0.8563205709794179,-0.9931544786402674,71.0,2223.0,0.3383566903026089,75,2,volkswagen dasher,1
24.0,-0.8563205709794179,-0.714679883611517,97.0,2545.0,0.5198961385911481,75,3,datsun 710,1
18.0,0.3209353435276921,-0.2153461270082405,97.0,2984.0,-0.3878011028515483,75,1,ford pinto,0
29.0,-0.8563205709794179,-0.9931544786402674,70.0,1937.0,-0.5693405511400875,75,2,volkswagen rabbit,1
19.0,0.3209353435276921,0.37041077977637243,90.0,3211.0,0.5198961385911481,75,1,amc pacer,2
23.0,-0.8563205709794179,-0.7530901725809999,95.0,2694.0,-0.206261654563009,75,2,audi 100ls,1
23.0,-0.8563205709794179,-0.7050773113691463,88.0,2957.0,0.5198961385911481,75,2,peugeot 504,1
22.0,-0.8563205709794179,-0.6954747391267756,98.0,2945.0,-0.3878011028515483,75,2,volvo 244dl,1
25.0,-0.8563205709794179,-0.6954747391267756,115.0,2671.0,-0.7508799994286268,75,2,saab 99le,1
33.0,-0.8563205709794179,-0.9835519063978967,53.0,1795.0,0.7014355868796874,75,3,honda civic cvcc,4
28.0,-0.8563205709794179,-0.8299107505199654,86.0,2464.0,-0.02472220627446969,76,2,fiat 131,1
25.0,-0.8563205709794179,-0.7434876003386292,81.0,2220.0,0.48358824893343977,76,2,opel 1900,1
25.0,-0.8563205709794179,-0.5130258665217323,92.0,2572.0,-0.2425695442207167,76,1,capri ii,1
26.0,-0.8563205709794179,-0.9163339007013018,79.0,2255.0,0.774051366195103,76,1,dodge colt,4
27.0,-0.8563205709794179,-0.8875261839741897,83.0,2202.0,-0.09733798558988514,76,2,renault 12tl,1
17.5,1.498191258034802,1.0713985534694337,140.0,4215.0,-0.9324194477171661,76,1,chevrolet chevelle malibu classic,3
16.0,1.498191258034802,1.196231992620253,150.0,4190.0,-0.9324194477171661,76,1,dodge coronet brougham,3
15.5,1.498191258034802,1.061795981227063,120.0,3962.0,-0.6056484407977952,76,1,amc matador,3
14.5,1.498191258034802,1.5131168766184862,152.0,4215.0,-1.0050352270325815,76,1,ford gran torino,3
22.0,0.3209353435276921,0.30319277407977746,100.0,3233.0,-0.06103009593217742,76,1,plymouth valiant,0
22.0,0.3209353435276921,0.5432570801390451,105.0,3353.0,-0.3878011028515483,76,1,chevrolet nova,0
24.0,0.3209353435276921,0.0631284680205099,81.0,3012.0,0.7377434765373958,76,1,ford maverick,2
22.5,0.3209353435276921,0.37041077977637243,90.0,3085.0,0.7377434765373958,76,1,amc hornet,2
29.0,-0.8563205709794179,-1.0411673398521208,52.0,2035.0,2.4079064007919566,76,1,chevrolet chevette,4
24.5,-0.8563205709794179,-0.9163339007013018,60.0,2164.0,2.3715985111342492,76,1,chevrolet woody,4
29.0,-0.8563205709794179,-0.9931544786402674,70.0,1937.0,-0.4967247718246721,76,2,vw rabbit,1
33.0,-0.8563205709794179,-0.9835519063978967,53.0,1795.0,0.6651276972219791,76,3,honda civic,4
20.0,0.3209353435276921,0.30319277407977746,100.0,3651.0,0.774051366195103,76,1,dodge aspen se,2
18.0,0.3209353435276921,0.5432570801390451,78.0,3574.0,1.9722117248994624,76,1,ford granada ghia,2
18.5,0.3209353435276921,0.5432570801390451,110.0,3645.0,0.22943302132948504,76,1,pontiac ventura sj,0
17.5,0.3209353435276921,0.6200776580780107,95.0,3193.0,0.8103592558528113,76,1,amc pacer d/l,2
29.5,-0.8563205709794179,-0.9259364729436725,71.0,1825.0,-1.2228825649788293,76,2,volkswagen rabbit,1
32.0,-0.8563205709794179,-1.0411673398521208,70.0,1990.0,0.5198961385911481,76,3,datsun b-210,1
28.0,-0.8563205709794179,-0.9259364729436725,75.0,2155.0,0.30204880064490053,76,3,toyota corolla,1
26.5,-0.8563205709794179,-0.5130258665217323,72.0,2565.0,-0.7145721097709191,76,1,ford pinto,1
20.0,-0.8563205709794179,-0.6090515889454393,102.0,3150.0,0.04789357304094576,76,2,volvo 245,1
13.0,1.498191258034802,1.196231992620253,150.0,3940.0,-0.8598036684017507,76,1,plymouth volare premier v8,3
19.0,-0.8563205709794179,-0.7050773113691463,88.0,3270.0,2.2989827318188327,76,2,peugeot 504,4
19.0,0.3209353435276921,-0.359384710643801,108.0,2930.0,-0.02472220627446969,76,3,toyota mark ii,0
16.5,0.3209353435276921,-0.2441538437353526,120.0,3820.0,0.41097246961802436,76,2,mercedes-benz 280s,0
16.5,1.498191258034802,1.5035143043761154,180.0,4380.0,-1.259190454636537,76,1,cadillac seville,3
13.0,1.498191258034802,1.5035143043761154,145.0,4055.0,-1.2954983442942447,76,1,chevy c10,3
13.0,1.498191258034802,1.0425908367423216,130.0,3870.0,-0.206261654563009,76,1,ford f108,3
13.0,1.498191258034802,1.196231992620253,150.0,3755.0,-0.5693405511400875,76,1,dodge d100,3
31.5,-0.8563205709794179,-0.9163339007013018,68.0,2045.0,1.064514483456766,77,3,honda accord cvcc,4
30.0,-0.8563205709794179,-0.7915004615504827,80.0,2155.0,-0.27887743387842445,77,1,buick opel isuzu deluxe,1
36.0,-0.8563205709794179,-1.098782773306345,58.0,1825.0,1.1008223731144744,77,2,renault 5 gtl,4
25.5,-0.8563205709794179,-0.6858721668844049,96.0,2300.0,-0.02472220627446969,77,1,plymouth arrow gs,1
33.5,-0.8563205709794179,-1.0411673398521208,70.0,1945.0,0.44728035927573273,77,3,datsun f-10 hatchback,1
17.5,1.498191258034802,1.0713985534694337,145.0,3880.0,-1.1139588960057054,77,1,chevrolet caprice classic,3
17.0,1.498191258034802,0.639282802562752,110.0,4060.0,1.2460539317453052,77,1,oldsmobile cutlass supreme,2
15.5,1.498191258034802,1.196231992620253,145.0,4140.0,-0.6782642201132114,77,1,dodge monaco brougham,3
15.0,1.498191258034802,1.0425908367423216,130.0,4295.0,-0.2425695442207167,77,1,mercury cougar brougham,3
17.5,0.3209353435276921,0.5432570801390451,110.0,3520.0,0.30204880064490053,77,1,chevrolet concours,0
20.5,0.3209353435276921,0.3608082075340017,105.0,3425.0,0.48358824893343977,77,1,buick skylark,2
19.0,0.3209353435276921,0.30319277407977746,100.0,3630.0,0.774051366195103,77,1,plymouth volare custom,2
18.5,0.3209353435276921,0.5432570801390451,98.0,3525.0,1.2460539317453052,77,1,ford granada,2
16.0,1.498191258034802,1.9836429164946505,180.0,4220.0,-1.6222693512136155,77,1,pontiac grand prix lj,3
15.5,1.498191258034802,1.5035143043761154,170.0,4165.0,-1.5133456822404916,77,1,chevrolet monte carlo landau,3
15.5,1.498191258034802,1.9836429164946505,190.0,4325.0,-1.2228825649788293,77,1,chrysler cordoba,3
16.0,1.498191258034802,1.5131168766184862,149.0,4335.0,-0.3878011028515483,77,1,ford thunderbird,3
29.0,-0.8563205709794179,-0.9259364729436725,78.0,1940.0,-0.3878011028515483,77,2,volkswagen rabbit custom,1
24.5,-0.8563205709794179,-0.40739757185565456,88.0,2740.0,0.1568172420140696,77,1,pontiac sunbird coupe,1
26.0,-0.8563205709794179,-0.9259364729436725,75.0,2265.0,0.9555908144836421,77,3,toyota corolla liftback,4
25.5,-0.8563205709794179,-0.5130258665217323,89.0,2755.0,0.08420146269865414,77,1,ford mustang ii 2+2,1
30.5,-0.8563205709794179,-0.9163339007013018,63.0,2051.0,0.5198961385911481,77,1,chevrolet chevette,1
33.5,-0.8563205709794179,-0.9163339007013018,83.0,2075.0,0.12050935235636187,77,1,dodge colt m/m,1
30.0,-0.8563205709794179,-0.9259364729436725,67.0,1985.0,0.30204880064490053,77,3,subaru dl,1
30.5,-0.8563205709794179,-0.9259364729436725,78.0,2190.0,-0.5330326614823798,77,2,volkswagen dasher,1
22.0,0.3209353435276921,-0.45541043306750806,97.0,2815.0,-0.3878011028515483,77,3,datsun 810,0
21.5,-0.8563205709794179,-0.6954747391267756,110.0,2600.0,-1.0050352270325815,77,2,bmw 320i,1
21.5,-1.4449485282329728,-1.0891802010639744,110.0,2720.0,-0.7508799994286268,77,3,mazda rx-4,1
43.1,-0.8563205709794179,-0.9931544786402674,48.0,1985.0,2.153751173188002,78,2,volkswagen rabbit custom diesel,4
36.1,-0.8563205709794179,-0.9163339007013018,66.0,1800.0,-0.424108992509256,78,1,ford fiesta,1
32.8,-0.8563205709794179,-1.1083853455487158,52.0,1985.0,1.3912854903761362,78,3,mazda glc deluxe,4
39.4,-0.8563205709794179,-1.0411673398521208,70.0,2070.0,1.1008223731144744,78,3,datsun b210 gx,4
36.1,-0.8563205709794179,-0.9835519063978967,60.0,1800.0,0.30204880064490053,78,3,honda civic cvcc,1
19.9,1.498191258034802,0.639282802562752,110.0,3365.0,-0.02472220627446969,78,1,oldsmobile cutlass salon brougham,0
19.4,1.498191258034802,1.196231992620253,140.0,3735.0,-0.8598036684017507,78,1,dodge diplomat,3
